impl,prog_size,loop_scans,runtime_ms,timed_out,success
rust-naive,13,3,44.165568,False,True
rust-naive,16,3,44.069326,False,True
rust-naive,14,3,63.004824,False,True
rust-naive,15,3,43.184873,False,True
rust-safe,16,3,2108.3991260000003,False,True
rust,13,3,39408.748694,False,True
rust-safe,13,3,41963.294099,False,False
rust-safe,15,3,42429.101631000005,False,False
rust-safe,14,3,42724.874335,False,False
rust-online,13,3,111139.73665800001,False,True
rust-online,15,3,231083.02532,False,True
rust,14,3,492917.910135,False,True
rust-online,16,3,988835.664919,False,True
rust-online,14,3,1493988.322482,False,True
rosette,14,3,3600000,True,False
rust,16,3,3600000,True,False
rosette,13,3,3600000,True,False
rosette,15,3,3600000,True,False
rust,15,3,3600000,True,False
rosette,16,3,3600000,True,False
rust,1,1,0.025449000000000003,False,False
rust,1,2,0.0212,False,False
rust-safe,1,2,0.011231,False,False
rust,1,3,0.024586,False,False
rust-online,1,3,0.029015,False,False
rust-naive,1,2,0.023504999999999998,False,False
rust-online,1,2,0.027141,False,False
rust-naive,1,1,0.028183,False,False
rust-safe,1,1,0.019888000000000003,False,False
rust-safe,1,3,0.016281,False,False
rust-online,1,1,0.032320999999999996,False,False
rust-naive,1,3,0.032671,False,False
rust-safe,2,1,0.024096,False,False
rust,2,1,0.035197000000000006,False,False
rust-safe,2,3,0.018745,False,False
rust-naive,2,1,0.038933999999999996,False,False
rust-online,2,1,0.037251,False,False
rust-online,2,2,0.044584000000000006,False,False
rust,2,2,0.04202,False,False
rust-naive,2,2,0.19118100000000002,False,False
rust-safe,2,2,0.017693,False,False
rust,2,3,0.048140999999999996,False,False
rust,3,1,0.08490099999999999,False,False
rust-naive,2,3,0.035427,False,False
rust-naive,3,1,0.038944,False,False
rust-online,2,3,0.043171999999999995,False,False
rust-safe,3,1,0.023734,False,False
rosette,1,2,128.0390625,False,False
rust,3,2,0.087015,False,False
rust-online,3,1,0.040156,False,False
rosette,1,1,133.27587890625,False,False
rosette,1,3,136.646728515625,False,False
rust-naive,3,2,0.026268999999999997,False,False
rust-safe,3,2,0.014217,False,False
rust-online,3,2,0.037240999999999996,False,False
rust,3,3,0.134074,False,False
rust-naive,3,3,0.032121000000000004,False,False
rosette,2,2,271.56005859375,False,False
rust-safe,3,3,0.017513,False,False
rosette,2,1,309.815185546875,False,False
rosette,2,3,288.747314453125,False,False
rust-online,3,3,0.039674999999999995,False,False
rust-naive,4,1,0.029646000000000002,False,False
rust-online,4,1,0.055275,False,False
rust-safe,4,2,0.019697,False,False
rust,4,1,0.739188,False,False
rust-safe,4,1,0.012313000000000001,False,False
rust,4,2,0.735241,False,False
rust-naive,4,2,0.032531,False,False
rust,4,3,0.770608,False,False
rust-online,4,2,0.076405,False,False
rust-naive,4,3,0.027382,False,False
rust-online,4,3,0.064993,False,False
rust-safe,4,3,0.022082,False,False
rust,5,1,9.079076,False,False
rust-naive,5,1,0.039244,False,False
rust-safe,5,1,0.024466,False,False
rust-online,5,1,0.230095,False,False
rust,5,2,13.927759,False,False
rust-naive,5,2,0.030978000000000002,False,False
rust-safe,5,2,0.018655,False,False
rust,5,3,10.092123,False,False
rust-online,5,2,0.225496,False,False
rust-naive,5,3,0.166354,False,False
rust-safe,5,3,0.018495,False,False
rust-online,5,3,0.229183,False,False
rust-safe,6,1,0.016661000000000002,False,False
rust-online,6,1,4.130074,False,False
rust-online,6,2,2.370905,False,False
rust-safe,6,2,0.022954000000000002,False,False
rust,6,1,164.2797,False,False
rust-naive,6,1,207.722518,False,False
rust,6,2,159.052031,False,False
rust-safe,6,3,0.01584,False,False
rust-online,6,3,4.336153,False,False
rust,6,3,217.97332,False,False
rust-safe,7,2,0.127631,False,False
rust-safe,7,1,0.019316,False,False
rust-naive,6,2,349.778234,False,False
rust-online,7,1,49.733788,False,False
rust-naive,6,3,265.376399,False,False
rust-online,7,2,52.78985,False,False
rust-safe,7,3,0.020228000000000003,False,False
rust-online,7,3,45.307315,False,False
rust-safe,8,1,1.159744,False,False
rust-safe,8,2,0.12334300000000001,False,False
rust-safe,8,3,0.01593,False,False
rust-online,8,1,944.550609,False,False
rust-online,8,2,969.894657,False,False
rust-online,8,3,956.849597,False,False
rust,7,1,2865.7282830000004,False,False
rust-safe,9,1,0.014757999999999999,False,False
